metro_area,holc_grade,avg_G,median_G,decile_10_G,quartile_25_G
"Akron, OH",A,0.758185327445498,1,0.051405805,0.559426859
"Akron, OH",B,0.726507172811208,0.9976596225,0.0499345514,0.39108507525
"Akron, OH",C,0.745747937499039,1,0.0561007422,0.489668425
"Akron, OH",D,0.675531178635846,0.9576641655,0.0243344307,0.2377010805
"Albany, NY",A,0.736086930888554,1,0.0766004241,0.460096832
"Albany, NY",B,0.708744003761438,1,0.081152427,0.356650967
"Albany, NY",C,0.729050504775281,1,0.0812841332,0.413776484
"Albany, NY",D,0.749133113093557,1,0.1632175691,0.48824598425
"Altoona, PA",A,0.570646784851064,0.892730132,0.0078679552,0.116249815
"Altoona, PA",B,0.682633438067332,0.903589861,0.04212748,0.261919566
"Altoona, PA",C,0.792619082482287,1,0.0779047056,0.72340093625
"Altoona, PA",D,0.745350076873333,1,0.0403983999,0.49553079625
"Amarillo, TX",A,0.832411455424332,1,0.0580483716,0.915851702
"Amarillo, TX",B,0.811566525669078,1,0.0727547532,0.882256751
"Amarillo, TX",C,0.759356344251386,1,0.025899783,0.700130875
"Amarillo, TX",D,0.831198540722717,1,0.0610017846,0.961639307
"Asheville, NC",A,0.690994956733668,0.997938586,0.0460294502,0.287426492
"Asheville, NC",B,0.620982237655502,0.726062631,0.0330576938,0.233379051
"Asheville, NC",C,0.748814990845921,1,0.1189080065,0.435117968
"Asheville, NC",D,0.709794646907407,0.9089008215,0.1416309921,0.35382400475
"Atlanta, GA",A,0.60166935440724,0.667747668,0.051779332,0.244469179
"Atlanta, GA",B,0.568032751507524,0.567024499,0.05445749,0.225086664
"Atlanta, GA",C,0.64856051727988,0.8523206915,0.050753081,0.24119320375
"Atlanta, GA",D,0.72103197756661,0.992761379,0.1099425324,0.4106253865
"Atlantic City, NJ",A,0.74974425585,1,0.1244598844,0.43400496225
"Atlantic City, NJ",B,0.788585661300626,1,0.1151245892,0.739562115
"Atlantic City, NJ",C,0.817087178042465,1,0.121069969,0.828342118
"Atlantic City, NJ",D,0.81205834134375,1,0.0762770165,0.90914542225
"Augusta, GA",A,0.485353601259259,0.563121078,0.0106770538,0.111473426
"Augusta, GA",B,0.534927320758065,0.6201640945,0.0322969458,0.14990167875
"Augusta, GA",C,0.614293557349162,0.7870183175,0.0287712331,0.1768781475
"Augusta, GA",D,0.759765899451697,1,0.094304102,0.52543075175
"Austin, TX",A,0.774808837653266,1,0.0571519604,0.687114643
"Austin, TX",B,0.748590614071511,0.999923653,0.0273661594,0.46264751
"Austin, TX",C,0.73190885922,0.998333333,0.0279294475,0.46622666325
"Austin, TX",D,0.814965728980848,1,0.087818674,0.920244837
"Baltimore, MD",A,0.793641059485897,1,0.1142984937,0.7381183055
"Baltimore, MD",B,0.835883943020101,1,0.150723127,0.943724552
"Baltimore, MD",C,0.8167214407198,1,0.130726157,0.854615221
"Baltimore, MD",D,0.880633685947205,1,0.3683722965,1
"Battle Creek, MI",A,0.707400175529412,0.964587377,0.023961357,0.420940072
"Battle Creek, MI",B,0.342962182697917,0.2962058955,0.004266027,0.0257036835
"Battle Creek, MI",C,0.692844470348993,0.9774911755,0.0248568959,0.3205403235
"Battle Creek, MI",D,0.629022359536585,0.863607872,0.011690815,0.1615262385
"Bay City, MI",A,0.66103400908,0.850183931,0.1421894264,0.377229841
"Bay City, MI",B,0.610711585397849,0.843782044,0.005748493,0.119917214
"Bay City, MI",C,0.8087991072393,1,0.1596539039,0.759272348
"Bay City, MI",D,0.750378386360171,1,0.0455612442,0.5129480955
"Beaumont, TX",A,0.776306790931973,0.983278713,0.043555025,0.853080183
"Beaumont, TX",B,0.767014432228261,1,0.0212734907,0.68083560025
"Beaumont, TX",C,0.646202395438096,0.975896978,0.0120549158,0.083383893
"Beaumont, TX",D,0.792376123301688,1,0.0288413944,0.8777430755
